"","Y","M","D","HERD","FORG","TDNF","Date"
"95",2017,6,29,1,"WSPG",0.75,2017-06-29
"96",2017,6,29,1,"CSPG",0.7231,2017-06-29
"97",2017,6,30,1,"WSPG",0.75,2017-06-30
"98",2017,6,30,1,"CSPG",0.7212,2017-06-30
"99",2017,7,1,1,"WSPG",0.75,2017-07-01
"100",2017,7,1,1,"CSPG",0.7201,2017-07-01
"101",2017,7,2,1,"WSPG",0.75,2017-07-02
"102",2017,7,2,1,"CSPG",0.7184,2017-07-02
"103",2017,7,3,1,"WSPG",0.75,2017-07-03
"104",2017,7,3,1,"CSPG",0.7153,2017-07-03
"105",2017,7,4,1,"WSPG",0.7486,2017-07-04
"106",2017,7,4,1,"CSPG",0.7131,2017-07-04
"107",2017,7,5,1,"WSPG",0.7467,2017-07-05
"108",2017,7,5,1,"CSPG",0.7105,2017-07-05
"109",2017,7,6,1,"WSPG",0.7444,2017-07-06
"110",2017,7,6,1,"CSPG",0.7074,2017-07-06
"111",2017,7,7,1,"WSPG",0.7419,2017-07-07
"112",2017,7,7,1,"CSPG",0.7038,2017-07-07
"113",2017,7,8,1,"WSPG",0.75,2017-07-08
"114",2017,7,8,1,"CSPG",0.7009,2017-07-08
"115",2017,7,9,1,"WSPG",0.75,2017-07-09
"116",2017,7,9,1,"CSPG",0.6977,2017-07-09
"117",2017,7,10,1,"WSPG",0.75,2017-07-10
"118",2017,7,10,1,"CSPG",0.6946,2017-07-10
"119",2017,7,11,1,"WSPG",0.75,2017-07-11
"120",2017,7,11,1,"CSPG",0.6939,2017-07-11
"121",2017,7,12,1,"WSPG",0.7499,2017-07-12
"122",2017,7,12,1,"CSPG",0.6928,2017-07-12
"123",2017,7,13,1,"WSPG",0.7485,2017-07-13
"124",2017,7,13,1,"CSPG",0.6918,2017-07-13
"125",2017,7,14,1,"WSPG",0.747,2017-07-14
"126",2017,7,14,1,"CSPG",0.6933,2017-07-14
"127",2017,7,15,1,"WSPG",0.745,2017-07-15
"128",2017,7,15,1,"CSPG",0.6933,2017-07-15
"129",2017,7,16,1,"WSPG",0.7438,2017-07-16
"130",2017,7,16,1,"CSPG",0.6925,2017-07-16
"131",2017,7,17,1,"WSPG",0.7434,2017-07-17
"132",2017,7,17,1,"CSPG",0.6925,2017-07-17
"133",2017,7,18,1,"WSPG",0.7421,2017-07-18
"134",2017,7,18,1,"CSPG",0.6903,2017-07-18
"135",2017,7,19,1,"WSPG",0.7401,2017-07-19
"136",2017,7,19,1,"CSPG",0.6873,2017-07-19
"137",2017,7,20,1,"WSPG",0.75,2017-07-20
"138",2017,7,20,1,"CSPG",0.6841,2017-07-20
"139",2017,7,21,1,"WSPG",0.75,2017-07-21
"140",2017,7,21,1,"CSPG",0.73,2017-07-21
"141",2017,7,22,1,"WSPG",0.75,2017-07-22
"142",2017,7,22,1,"CSPG",0.73,2017-07-22
"143",2017,7,23,1,"WSPG",0.75,2017-07-23
"144",2017,7,23,1,"CSPG",0.45,2017-07-23
"145",2017,7,24,1,"WSPG",0.75,2017-07-24
