"","SA","ID","YR","YR.1","CPNM","GNAM","HERD","OWNER","GZNBhd","GZDd","GZSLkg.ha","GZSDkg.ha","HAYkg.ha","HAYd","WTGkg.hd.d","WSAha","PSTLkg.ha","PSTDkg.ha","PSTTkg.ha","POP","DMIkg.hd","PEAK_Time.YYYYMMDD.","Treatment"
"343",8,8,2018,11,"FRB3","STEERS",8,1,29,142,14.27,3.08,0,0,0.969,126.23,24.625,20.182,28.464,0.4,75.547,20180612,"TRM"
"344",8,8,2018,11,"ATCA","STEERS",8,1,29,142,11.86,0,0,0,0.969,126.23,1555.702,0,1555.702,1116.67,51.616,20180203,"TRM"
"345",9,9,2018,11,"WSPG","STEERS",9,1,29,142,127.54,18.2,0,0,0.932,128.63,201.137,119.972,222.403,16.85,646.499,20180816,"TRM"
"346",9,9,2018,11,"CSPG","STEERS",9,1,29,142,77.73,49.69,0,0,0.932,128.63,420.716,334.743,479.74,4.13,565.207,20180708,"TRM"
"347",9,9,2018,11,"VUOC","STEERS",9,1,29,142,7.82,0.3,0,0,0.932,128.63,31.069,12.229,32.48,1.07,36.029,20180717,"TRM"
"348",9,9,2018,11,"FRB3","STEERS",9,1,29,142,16.03,2.57,0,0,0.932,128.63,27.604,30.863,33.924,0.57,82.547,20180612,"TRM"
"349",9,9,2018,11,"ATCA","STEERS",9,1,29,142,1.53,0,0,0,0.932,128.63,149.479,0,149.479,5.56,6.792,20180614,"TRM"
"350",10,10,2018,11,"WSPG","STEERS",10,1,29,142,81.81,7.5,0,0,0.698,129.46,133.604,81.572,147.644,13.14,398.68,20180816,"TRM"
"351",10,10,2018,11,"CSPG","STEERS",10,1,29,142,99.33,54.37,0,0,0.698,129.46,568.713,479.448,674.581,8.47,686.146,20180709,"TRM"
"352",10,10,2018,11,"VUOC","STEERS",10,1,29,142,4.7,0.22,0,0,0.698,129.46,25.797,10.054,26.853,0.52,21.989,20180718,"TRM"
"353",10,10,2018,11,"FRB3","STEERS",10,1,29,142,5.82,0.34,0,0,0.698,129.46,7.879,5.273,8.99,0.1,27.478,20180610,"TRM"
"354",10,10,2018,11,"ATCA","STEERS",10,1,29,142,3.29,0,0,0,0.698,129.46,353.608,0,353.608,27.78,14.703,20180623,"TRM"
"355",11,11,2018,11,"WSPG","STEERS",11,2,280.18,16,137.69,23.71,0,0,0.647,123,297.591,256.351,352.772,18.3,70.857,20180719,"CARM"
"356",11,11,2018,11,"CSPG","STEERS",11,2,280.18,16,35,27.92,0,0,0.647,123,150.699,74.377,161.609,1.18,27.621,20180714,"CARM"
"357",11,11,2018,11,"VUOC","STEERS",11,2,280.18,16,26.39,0,0,0,0.647,123,46.54,0.322,46.862,2.2,11.585,20180801,"CARM"
"358",11,11,2018,11,"FRB3","STEERS",11,2,280.18,16,14.09,0.5,0,0,0.647,123,80.082,64.998,86.323,0.9,6.404,20180801,"CARM"
"359",11,11,2018,11,"ATCA","STEERS",11,2,280.18,16,4.07,0,0,0,0.647,123,475.041,0,475.041,100,1.786,20180727,"CARM"
"360",13,13,2018,11,"WSPG","STEERS",11,2,279.71,13,143.37,0.89,0,0,0.647,133.42,395.502,328.297,401.755,16.35,68.813,20180719,"CARM"
"361",13,13,2018,11,"CSPG","STEERS",11,2,279.71,13,62.78,7.14,0,0,0.647,133.42,208.337,54.42,216.842,1.2,33.352,20180714,"CARM"
"362",13,13,2018,11,"VUOC","STEERS",11,2,279.71,13,20.7,0.29,0,0,0.647,133.42,149.141,6.278,152.157,6.1,10.012,20180719,"CARM"
"363",13,13,2018,11,"FRB3","STEERS",11,2,279.71,13,19.89,1.24,0,0,0.647,133.42,163.393,146.642,183.281,1.65,10.08,20180821,"CARM"
"364",14,14,2018,11,"WSPG","STEERS",11,2,280.17,21,177.49,8.3,0,0,0.647,130.28,153.079,53.033,166.231,18.03,86.396,20180628,"CARM"
"365",14,14,2018,11,"CSPG","STEERS",11,2,280.17,21,57.26,3.84,0,0,0.647,130.28,107.992,31.583,117.196,1.57,28.411,20180628,"CARM"
"366",14,14,2018,11,"VUOC","STEERS",11,2,280.17,21,12.01,0,0,0,0.647,130.28,19.097,0.412,19.509,1.8,5.583,20180628,"CARM"
"367",14,14,2018,11,"FRB3","STEERS",11,2,280.17,21,10.37,0.45,0,0,0.647,130.28,19.471,12.669,21.96,0.68,5.03,20180626,"CARM"
"368",15,15,2018,11,"WSPG","STEERS",11,2,279.83,20,162.22,3.96,0,0,0.647,148.87,158.585,143.063,174.545,20.82,88.408,20180815,"CARM"
"369",15,15,2018,11,"CSPG","STEERS",11,2,279.83,20,42.71,4.21,0,0,0.647,148.87,68.054,26.034,78.557,1.77,24.959,20180610,"CARM"
"370",15,15,2018,11,"VUOC","STEERS",11,2,279.83,20,9.4,0,0,0,0.647,148.87,14.225,0.481,14.706,1.15,4.998,20180608,"CARM"
"371",15,15,2018,11,"FRB3","STEERS",11,2,279.83,20,16.23,3.95,0,0,0.647,148.87,27.205,43.315,43.315,1.25,10.733,20180101,"CARM"
"372",16,16,2018,11,"WSPG","STEERS",11,2,280.15,15,48.77,1.43,0,0,0.647,131.95,52.844,62.492,73.374,8.78,23.644,20180524,"CARM"
"373",16,16,2018,11,"CSPG","STEERS",11,2,280.15,15,185.12,18.21,0,0,0.647,131.95,368.775,601.407,615.811,8.8,95.768,20180101,"CARM"
"374",16,16,2018,11,"VUOC","STEERS",11,2,280.15,15,1.16,0.01,0,0,0.647,131.95,12.214,3.152,12.638,0.25,0.552,20181109,"CARM"
"375",16,16,2018,11,"FRB3","STEERS",11,2,280.15,15,7.63,1.57,0,0,0.647,131.95,45.743,73.36,73.36,0.45,4.332,20180101,"CARM"
"376",17,17,2018,11,"WSPG","STEERS",11,2,280.3,14,39.23,39.83,0,0,0.647,122.77,185.408,92.598,198.303,20.73,34.631,20180721,"CARM"
"377",17,17,2018,11,"CSPG","STEERS",11,2,280.3,14,9.3,73.05,0,0,0.647,122.77,206.35,216.221,259.926,3.42,36.069,20180714,"CARM"
"378",17,17,2018,11,"VUOC","STEERS",11,2,280.3,14,4.77,0,0,0,0.647,122.77,7.895,0.17,8.065,0.6,2.091,20180831,"CARM"
"379",17,17,2018,11,"FRB3","STEERS",11,2,280.3,14,11.28,7.45,0,0,0.647,122.77,36.365,14.67,40.851,0.5,8.205,20180817,"CARM"
"380",18,18,2018,11,"WSPG","STEERS",11,2,280.11,14,130.83,41.59,0,0,0.647,127.17,384.444,73.083,395.587,28.66,78.283,20180721,"CARM"
"381",18,18,2018,11,"CSPG","STEERS",11,2,280.11,14,5.28,45.07,0,0,0.647,127.17,169.713,149.583,178.311,1.25,22.859,20180714,"CARM"
"382",18,18,2018,11,"VUOC","STEERS",11,2,280.11,14,5.54,0,0,0,0.647,127.17,8.898,0.302,9.2,0.3,2.513,20180817,"CARM"
"383",18,18,2018,11,"FRB3","STEERS",11,2,280.11,14,21.62,4.14,0,0,0.647,127.17,50.352,12.644,55.365,0.38,11.695,20180817,"CARM"
"384",18,18,2018,11,"ATCA","STEERS",11,2,280.11,14,2,0,0,0,0.647,127.17,794.16,0,794.16,1102.08,0.91,20180811,"CARM"
"385",19,19,2018,11,"WSPG","STEERS",11,2,279.8,16,15.73,62.8,0,0,0.647,128.71,256.445,196.616,261.546,16.92,36.126,20180722,"CARM"
"386",19,19,2018,11,"CSPG","STEERS",11,2,279.8,16,19.83,119.89,0,0,0.647,128.71,482.62,454.661,540.401,4.61,64.269,20180714,"CARM"
"387",19,19,2018,11,"VUOC","STEERS",11,2,279.8,16,15.16,0,0,0,0.647,128.71,26.352,3.119,27.352,1.1,6.974,20180914,"CARM"
"388",19,19,2018,11,"FRB3","STEERS",11,2,279.8,16,6.95,23.13,0,0,0.647,128.71,75.818,45.806,86.423,0.67,13.836,20180821,"CARM"
"389",19,19,2018,11,"ATCA","STEERS",11,2,279.8,16,7.75,0,0,0,0.647,128.71,697.609,0,697.609,194.44,3.564,20180201,"CARM"
"390",20,20,2018,11,"WSPG","STEERS",11,2,280.09,13,32.16,5.89,0,0,0.647,128.56,112.071,92.825,113.396,10.59,17.465,20180724,"CARM"
"391",20,20,2018,11,"CSPG","STEERS",11,2,280.09,13,115,50.89,0,0,0.647,128.56,121.333,377.165,386.886,5.98,76.144,20180109,"CARM"
"392",20,20,2018,11,"VUOC","STEERS",11,2,280.09,13,7.47,0.52,0,0,0.647,128.56,14.396,7.872,15.091,0.87,3.667,20181111,"CARM"
"393",20,20,2018,11,"FRB3","STEERS",11,2,280.09,13,3.99,4.41,0,0,0.647,128.56,38.773,42.061,42.061,0.48,3.857,20180101,"CARM"
